Item,Desciption,Link,Unit Price,Amount,Total
PCB,circuit board for all the components,https://cart.jlcpcb.com/quote?plateType=1,20.7,1,22.64
Raspberry Pi Pico,Microcontroller for keyboard,https://www.microcenter.com/product/661033/raspberry-pi-pico-microcontroller-development-board,2.99,1,3.27
Akko Cream Blue Switches,"Tactile switches for keyboard, sold in packs of 45",https://www.amazon.com/gp/product/B0C3H7PR1Z?tag=rtings-ks-r-third-party-prime-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fkeyboard-switch%2Freviews%2Fbest%2Ftactile&th=1,12.99,2,28.41
Womier Black keycaps,Keycaps for the keyboard,https://www.amazon.com/Keycaps-Profile-Percent-Mechanical-Keyboard/dp/B0DHR6D697/ref=sr_1_1?crid=YA38C8FQJN69&dib=eyJ2IjoiMSJ9.reCOgIudjAFDYcN-02O7LY2iz0TUM-Y0yiqcxtjHZw0Q6eL3Y0RpCetRnDz4XOZJdlkzeI2nGMyqxfLVGnq55P5t1bJ3M0-MhwM2E4D4YtPyBT5fV3_GIq8RB7iXWzo8stln5hFijnnbRd25vbAi7skFBlEdSplP3sBNl7llVpdmlAPXwdj7Beexr_ERAWJx2VhaFiBYAIBhuIowzYkAUhpqYg1Nhe6aXyqev162o8w.5vG3ipRJz8Z0qre9ZSTAxRagfXbhkvaqICKdkFFDX_k&dib_tag=se&keywords=basic%2Bblack%2Bkeycaps&qid=1764843149&sprefix=basic%2Bblack%2Bkeycaps%2Caps%2C148&sr=8-1&th=1,17.99,1,19.67
Plate mount Stablilizers,"Stablizers, an important part of the keyboard so the bigger keys stay level and you are able to press them evenly from any part of the keyboard",https://www.amazon.com/DUROCK-Stabilizer-Innovative-Pre-clipped-Stabilizers/dp/B0CTHT34MJ/ref=sr_1_4?crid=1DDDG1K4FMVDV&dib=eyJ2IjoiMSJ9.MQoemQkqht-eqyqDS6cPnTQjrPels0JxALWfSiOgAybEAPhFIj313_-wDmDQLzDI6DRcP0dLTrXsIeofPpATUpe96uVvpjSFYsNgT5COOmX2TCfNPUskt8zocxdhtWPa54wXMOZTJWS_ujIs0qoMkO_A9f4r5IuG8LYjjV5k8sofmZer9fz5goXt-4A-bKluMLFkjkFQF45q8PImtrusjfV2z2IGmmZrEUsiWRcCf_A.D4MNw77PesDKRXnua112OWP--gK6bbEyMaWb7bUHH_A&dib_tag=se&keywords=snap%2Bin%2Bstabilizers%2Bkeyboard&qid=1764902580&sprefix=snap%2Bin%2Bstab%2Caps%2C144&sr=8-4&th=1,9.99,1,10.92
Kailh hotswap sockets,hotswap sockets which will be soldered to board,https://www.amazon.com/VEGNRSOT-Hot-swap-Mechanical-Keyboard-Accessories/dp/B0CZ79H1D9/ref=sr_1_3?crid=I70F4F8SL7K5&dib=eyJ2IjoiMSJ9.EevZxqeUp-BwdM7j_U8_MdJgw7FN7Zd5SnCEUNUsLXu3as9_vrQNvkGyA0VYvWPXONAUlF1yW4wokoO-UAp7GgIGJ7nrmf9lBX3t5-lBfVjuBgEmTCjpGYv7qjgBOVOOczgPrO_dt056TwYjkxdGBb6pz0n8LheAuUiUy9EwCftGfmXuBQ6C06tFvuOk67K2LmkB_9IYjQxITKEMgOJmifNBcu-ZSf3OoJuJcld4_Ss.OV3hkQGg-qHioq4M3ZxjDeB4pp_7Brsc8fNrtLow1yQ&dib_tag=se&keywords=kailh%2Bhotswap%2Bsockets&qid=1764904640&sprefix=kailh%2Bhotswa%2Caps%2C161&sr=8-3&th=1,9.99,1,10.92
1N4148 Diodes,diodes for keyboard matrix,https://www.amazon.com/ALLECIN-1N4148-Schottky-Switching-Package/dp/B0CKRMK45V/ref=sr_1_2_sspa?crid=1LOY4W015KU0M&dib=eyJ2IjoiMSJ9.G4ZHuurkn3IVHsyuKzuox6xt_IkCZqEgBugzcMePgyXCN_a1WTHe7xA5-gCRV0TJ2Ugv3KlV68ndloakc3ppfLrLpH0ny7NVCAFjajNsjcI7QALuEY_-haZ9UslVip_vEC_yXwUNVmaAjq8ZO4dvF1SFbL814Ob9QboczdeYhx34udHAkhg6ih1aPbVUCMyfBUwtpIlzrkmiubhyFdbNoubIjKqR1wj81ZasD1SMvDo.eS5k7oekvW7nFI3mQ7t6DXvn0Q6mKyuvAHU-qvPmguA&dib_tag=se&keywords=1n4148%2Bthrough-hole%2Bdiodes&qid=1764904806&sprefix=1N4148%2BDiodes%2Bthrou%2Caps%2C143&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,5.99,1,6.55
EC11 Rotary Encoder with switch,the rotary encoder dial ,https://keeb.io/products/rotary-encoder-ec11,1.99,1,2.18
,,,,,
,,,,Total: ,104.56