Designator,Mid X,Mid Y,Rotation,Layer
A1,369.0,-60.44625,0.0,top
D1,59.531251,-78.49625,180.0,bottom
D10,231.06125,-78.49625,180.0,bottom
D11,249.81125,-78.49625,180.0,bottom
D12,269.601252,-78.49625,180.0,bottom
D13,288.56125,-78.49625,180.0,bottom
D14,316.06125,-78.49625,180.0,bottom
D15,64.81125,-97.24625,180.0,bottom
D16,88.56125,-97.24625,180.0,bottom
D17,107.31125,-97.24625,180.0,bottom
D18,126.06125,-97.24625,180.0,bottom
D19,146.06125,-97.24625,180.0,bottom
D2,78.725001,-78.53125,180.0,bottom
D20,164.81125,-97.24625,180.0,bottom
D21,183.56125,-97.24625,180.0,bottom
D22,202.31125,-97.24625,180.0,bottom
D23,222.31125,-97.24625,180.0,bottom
D24,241.06125,-97.24625,180.0,bottom
D25,259.81125,-97.24625,180.0,bottom
D26,278.56125,-97.24625,180.0,bottom
D27,297.31125,-97.24625,180.0,bottom
D28,321.06125,-97.24625,180.0,bottom
D29,66.261249,-115.99625,180.0,bottom
D3,97.31125,-78.49625,180.0,bottom
D30,92.511249,-115.99625,180.0,bottom
D31,111.261249,-115.99625,180.0,bottom
D32,131.261249,-115.99625,180.0,bottom
D33,150.011249,-115.99625,180.0,bottom
D34,168.761249,-115.99625,180.0,bottom
D35,187.511249,-115.99625,180.0,bottom
D36,206.261249,-115.99625,180.0,bottom
D37,226.261249,-115.99625,180.0,bottom
D38,245.011249,-115.99625,180.0,bottom
D39,263.761249,-115.99625,180.0,bottom
D4,117.31125,-78.49625,180.0,bottom
D40,283.761249,-115.99625,180.0,bottom
D41,315.011249,-115.99625,180.0,bottom
D42,72.23125,-135.99625,180.0,bottom
D43,102.23125,-135.99625,180.0,bottom
D44,122.23125,-135.99625,180.0,bottom
D45,140.98125,-135.99625,180.0,bottom
D46,159.73125,-135.99625,180.0,bottom
D47,178.48125,-135.99625,180.0,bottom
D48,197.23125,-135.99625,180.0,bottom
D49,217.23125,-135.99625,180.0,bottom
D5,136.06125,-78.49625,180.0,bottom
D50,237.23125,-135.99625,180.0,bottom
D51,254.73125,-135.99625,180.0,bottom
D52,274.73125,-135.99625,180.0,bottom
D53,309.73125,-135.99625,180.0,bottom
D54,62.23125,-154.74625,180.0,bottom
D55,85.98125,-154.74625,180.0,bottom
D56,109.73125,-154.74625,180.0,bottom
D57,180.98125,-154.74625,180.0,bottom
D58,252.23125,-154.74625,180.0,bottom
D59,275.98125,-154.74625,180.0,bottom
D6,154.81125,-78.49625,180.0,bottom
D60,299.73125,-154.74625,180.0,bottom
D61,323.48125,-154.74625,180.0,bottom
D62,369.725,-135.53125,180.0,bottom
D63,350.625,-154.53125,180.0,bottom
D64,368.725,-154.78125,180.0,bottom
D65,388.14375,-154.53125,180.0,bottom
D7,173.56125,-78.49625,180.0,bottom
D8,192.31125,-78.49625,180.0,bottom
D9,212.31125,-78.49625,180.0,bottom
SW1,59.53125,-68.97125,0.0,top
SW10,230.98125,-68.97125,0.0,top
SW11,250.03125,-68.97125,0.0,top
SW12,269.08125,-68.97125,0.0,top
SW13,288.13125,-68.97125,0.0,top
SW14,316.70625,-68.97125,0.0,top
SW15,64.29375,-88.02125,0.0,top
SW16,88.10625,-88.02125,0.0,top
SW17,107.15625,-88.02125,0.0,top
SW18,126.20625,-88.02125,0.0,top
SW19,145.25625,-88.02125,0.0,top
SW2,78.58125,-68.97125,0.0,top
SW20,164.30625,-88.02125,0.0,top
SW21,183.35625,-88.02125,0.0,top
SW22,202.40625,-88.02125,0.0,top
SW23,221.45625,-88.02125,0.0,top
SW24,240.50625,-88.02125,0.0,top
SW25,259.55625,-88.02125,0.0,top
SW26,278.60625,-88.02125,0.0,top
SW27,297.65625,-88.02125,0.0,top
SW28,321.46875,-88.02125,0.0,top
SW29,66.675,-107.07125,0.0,top
SW3,97.63125,-68.97125,0.0,top
SW30,92.86875,-107.07125,0.0,top
SW31,111.91875,-107.07125,0.0,top
SW32,130.96875,-107.07125,0.0,top
SW33,150.01875,-107.07125,0.0,top
SW34,169.06875,-107.07125,0.0,top
SW35,188.11875,-107.07125,0.0,top
SW36,207.16875,-107.07125,0.0,top
SW37,226.21875,-107.07125,0.0,top
SW38,245.26875,-107.07125,0.0,top
SW39,264.31875,-107.07125,0.0,top
SW4,116.68125,-68.97125,0.0,top
SW40,283.36875,-107.07125,0.0,top
SW41,314.325,-107.07125,0.0,top
SW42,71.4375,-126.12125,0.0,top
SW43,102.39375,-126.12125,0.0,top
SW44,121.44375,-126.0845,0.0,top
SW45,140.49375,-126.12125,0.0,top
SW46,159.54375,-126.0845,0.0,top
SW47,178.59375,-126.0845,0.0,top
SW48,197.64375,-126.0845,0.0,top
SW49,216.69375,-126.0845,0.0,top
SW5,135.73125,-68.97125,0.0,top
SW50,235.74375,-126.0845,0.0,top
SW51,254.79375,-126.0845,0.0,top
SW52,273.84375,-126.0845,0.0,top
SW53,309.5625,-126.12125,0.0,top
SW54,61.9125,-145.17125,0.0,top
SW55,85.725,-145.17125,0.0,top
SW56,109.5375,-145.17125,0.0,top
SW57,180.975,-145.17125,0.0,top
SW58,252.4125,-145.17125,0.0,top
SW59,276.225,-145.17125,0.0,top
SW6,154.78125,-68.97125,0.0,top
SW60,300.0375,-145.17125,0.0,top
SW61,323.85,-145.17125,0.0,top
SW62,369.09375,-126.20625,0.0,top
SW63,350.04375,-145.25625,0.0,top
SW64,369.09375,-145.25625,0.0,top
SW65,388.14375,-145.25625,0.0,top
SW7,173.83125,-68.97125,0.0,top
SW77,59.53125,-47.65875,0.0,top
SW8,192.88125,-68.97125,0.0,top
SW9,211.93125,-68.97125,0.0,top
